epoch	sample	loss	
 1.0000e+00	 2.5600e+02	 1.3618e-01	
 1.0000e+00	 5.1200e+02	 1.4219e-01	
 1.0000e+00	 7.6800e+02	 1.4517e-01	
 1.0000e+00	 1.0240e+03	 1.4274e-01	
 1.0000e+00	 1.2800e+03	 1.4178e-01	
 1.0000e+00	 1.5360e+03	 1.3985e-01	
 1.0000e+00	 1.7920e+03	 1.3819e-01	
 1.0000e+00	 2.0480e+03	 1.3783e-01	
 1.0000e+00	 2.3040e+03	 1.3672e-01	
 1.0000e+00	 2.5600e+03	 1.3302e-01	
 1.0000e+00	 2.8160e+03	 1.3175e-01	
 1.0000e+00	 3.0720e+03	 1.2909e-01	
 1.0000e+00	 3.3280e+03	 1.2653e-01	
 1.0000e+00	 3.5840e+03	 1.2608e-01	
 1.0000e+00	 3.8400e+03	 1.2575e-01	
 1.0000e+00	 4.0960e+03	 1.2331e-01	
 1.0000e+00	 4.3520e+03	 1.2384e-01	
 1.0000e+00	 4.6080e+03	 1.2154e-01	
 1.0000e+00	 4.8640e+03	 1.1939e-01	
 1.0000e+00	 5.1200e+03	 1.1578e-01	
 1.0000e+00	 5.3760e+03	 1.1634e-01	
 1.0000e+00	 5.6320e+03	 1.1513e-01	
 1.0000e+00	 5.8880e+03	 1.1137e-01	
 1.0000e+00	 6.1440e+03	 1.1077e-01	
 1.0000e+00	 6.4000e+03	 1.1108e-01	
 1.0000e+00	 6.6560e+03	 1.0856e-01	
 1.0000e+00	 6.9120e+03	 1.0723e-01	
 1.0000e+00	 7.1680e+03	 1.0830e-01	
 1.0000e+00	 7.4240e+03	 1.0317e-01	
 1.0000e+00	 7.6800e+03	 1.0511e-01	
 1.0000e+00	 7.9360e+03	 1.0535e-01	
 1.0000e+00	 8.1920e+03	 1.0249e-01	
 1.0000e+00	 8.4480e+03	 1.0250e-01	
 1.0000e+00	 8.7040e+03	 1.0007e-01	
 1.0000e+00	 8.9600e+03	 1.0358e-01	
 1.0000e+00	 9.2160e+03	 1.0051e-01	
 1.0000e+00	 9.4720e+03	 9.8597e-02	
 1.0000e+00	 9.7280e+03	 9.8869e-02	
 1.0000e+00	 9.9840e+03	 9.7705e-02	
 1.0000e+00	 1.0240e+04	 9.5557e-02	
 1.0000e+00	 1.0496e+04	 9.5822e-02	
 1.0000e+00	 1.0752e+04	 9.5905e-02	
 1.0000e+00	 1.1008e+04	 9.5853e-02	
 1.0000e+00	 1.1264e+04	 9.4585e-02	
 1.0000e+00	 1.1520e+04	 9.6168e-02	
 1.0000e+00	 1.1776e+04	 9.3268e-02	
 1.0000e+00	 1.2032e+04	 9.3462e-02	
 1.0000e+00	 1.2288e+04	 9.1169e-02	
 1.0000e+00	 1.2544e+04	 9.1684e-02	
 1.0000e+00	 1.2800e+04	 9.2257e-02	
 1.0000e+00	 1.3056e+04	 9.2583e-02	
 1.0000e+00	 1.3312e+04	 9.2970e-02	
 1.0000e+00	 1.3568e+04	 8.9468e-02	
 1.0000e+00	 1.3824e+04	 8.8445e-02	
 1.0000e+00	 1.4080e+04	 9.0705e-02	
 1.0000e+00	 1.4336e+04	 8.7580e-02	
 1.0000e+00	 1.4592e+04	 8.7295e-02	
 1.0000e+00	 1.4848e+04	 8.6517e-02	
 1.0000e+00	 1.5104e+04	 8.6509e-02	
 1.0000e+00	 1.5360e+04	 8.5057e-02	
 1.0000e+00	 1.5616e+04	 8.5296e-02	
 1.0000e+00	 1.5872e+04	 8.4576e-02	
 1.0000e+00	 1.6128e+04	 8.4774e-02	
 1.0000e+00	 1.6384e+04	 8.3939e-02	
 1.0000e+00	 1.6640e+04	 8.2131e-02	
 1.0000e+00	 1.6896e+04	 8.4977e-02	
 1.0000e+00	 1.7152e+04	 8.0829e-02	
 1.0000e+00	 1.7408e+04	 8.3824e-02	
 1.0000e+00	 1.7664e+04	 8.4003e-02	
 1.0000e+00	 1.7920e+04	 8.1224e-02	
 1.0000e+00	 1.8176e+04	 8.1082e-02	
 1.0000e+00	 1.8432e+04	 8.1371e-02	
 1.0000e+00	 1.8688e+04	 8.2047e-02	
 1.0000e+00	 1.8944e+04	 8.1269e-02	
 1.0000e+00	 1.9200e+04	 7.7822e-02	
 1.0000e+00	 1.9456e+04	 8.1481e-02	
 1.0000e+00	 1.9712e+04	 8.1401e-02	
 1.0000e+00	 1.9968e+04	 7.9248e-02	
 1.0000e+00	 2.0224e+04	 7.9267e-02	
 1.0000e+00	 2.0480e+04	 7.6388e-02	
 1.0000e+00	 2.0736e+04	 7.7639e-02	
 1.0000e+00	 2.0992e+04	 8.2508e-02	
 1.0000e+00	 2.1248e+04	 7.8082e-02	
 1.0000e+00	 2.1504e+04	 7.8861e-02	
 1.0000e+00	 2.1760e+04	 7.7162e-02	
 1.0000e+00	 2.2016e+04	 7.6297e-02	
 1.0000e+00	 2.2272e+04	 7.6294e-02	
 1.0000e+00	 2.2528e+04	 7.9084e-02	
 1.0000e+00	 2.2784e+04	 7.6792e-02	
 1.0000e+00	 2.3040e+04	 7.7871e-02	
 1.0000e+00	 2.3296e+04	 7.5343e-02	
 1.0000e+00	 2.3552e+04	 7.7137e-02	
 1.0000e+00	 2.3808e+04	 7.3602e-02	
 1.0000e+00	 2.4064e+04	 7.5635e-02	
 1.0000e+00	 2.4320e+04	 7.5796e-02	
 1.0000e+00	 2.4576e+04	 7.5169e-02	
 1.0000e+00	 2.4832e+04	 7.6355e-02	
 1.0000e+00	 2.5088e+04	 7.4341e-02	
 1.0000e+00	 2.5344e+04	 7.6643e-02	
 1.0000e+00	 2.5600e+04	 7.5735e-02	
 1.0000e+00	 2.5856e+04	 7.4902e-02	
 1.0000e+00	 2.6112e+04	 7.2988e-02	
 1.0000e+00	 2.6368e+04	 7.3973e-02	
 1.0000e+00	 2.6624e+04	 7.3536e-02	
 1.0000e+00	 2.6880e+04	 7.6470e-02	
 1.0000e+00	 2.7136e+04	 7.3748e-02	
 1.0000e+00	 2.7392e+04	 7.3774e-02	
 1.0000e+00	 2.7648e+04	 7.3368e-02	
 1.0000e+00	 2.7904e+04	 7.4169e-02	
 1.0000e+00	 2.8160e+04	 7.2688e-02	
 1.0000e+00	 2.8416e+04	 7.1971e-02	
 1.0000e+00	 2.8672e+04	 7.3470e-02	
 1.0000e+00	 2.8928e+04	 7.4674e-02	
 1.0000e+00	 2.9184e+04	 7.2849e-02	
 1.0000e+00	 2.9440e+04	 7.1743e-02	
 1.0000e+00	 2.9696e+04	 7.0948e-02	
 1.0000e+00	 2.9952e+04	 7.0470e-02	
 1.0000e+00	 3.0208e+04	 7.1266e-02	
 1.0000e+00	 3.0464e+04	 7.2094e-02	
 1.0000e+00	 3.0720e+04	 7.0433e-02	
 1.0000e+00	 3.0976e+04	 7.1226e-02	
 1.0000e+00	 3.1232e+04	 6.9915e-02	
