epoch	sample	loss	
 1.0000e+00	 6.4000e+01	 1.6487e+03	
 1.0000e+00	 1.2800e+02	 1.7020e+04	
 1.0000e+00	 1.9200e+02	 3.9717e+03	
 1.0000e+00	 2.5600e+02	 1.6702e+03	
 1.0000e+00	 3.2000e+02	 1.3406e+03	
 1.0000e+00	 3.8400e+02	 1.0787e+03	
 1.0000e+00	 4.4800e+02	 1.0404e+03	
 1.0000e+00	 5.1200e+02	 9.4559e+02	
 1.0000e+00	 5.7600e+02	 8.9303e+02	
 1.0000e+00	 6.4000e+02	 8.6468e+02	
 1.0000e+00	 7.0400e+02	 8.1176e+02	
 1.0000e+00	 7.6800e+02	 7.9016e+02	
 1.0000e+00	 8.3200e+02	 8.2081e+02	
 1.0000e+00	 8.9600e+02	 7.7486e+02	
 1.0000e+00	 9.6000e+02	 7.5784e+02	
 1.0000e+00	 1.0240e+03	 7.5400e+02	
 1.0000e+00	 1.0880e+03	 7.2863e+02	
 1.0000e+00	 1.1520e+03	 7.6372e+02	
 1.0000e+00	 1.2160e+03	 7.3441e+02	
 1.0000e+00	 1.2800e+03	 6.9423e+02	
 1.0000e+00	 1.3440e+03	 7.2759e+02	
 1.0000e+00	 1.4080e+03	 7.2615e+02	
 1.0000e+00	 1.4720e+03	 7.1830e+02	
 1.0000e+00	 1.5360e+03	 6.9806e+02	
 1.0000e+00	 1.6000e+03	 6.9088e+02	
 1.0000e+00	 1.6640e+03	 6.6860e+02	
 1.0000e+00	 1.7280e+03	 7.0907e+02	
 1.0000e+00	 1.7920e+03	 7.0277e+02	
 1.0000e+00	 1.8560e+03	 6.7416e+02	
 1.0000e+00	 1.9200e+03	 6.7593e+02	
 1.0000e+00	 1.9840e+03	 6.6504e+02	
 1.0000e+00	 2.0480e+03	 6.7646e+02	
 1.0000e+00	 2.1120e+03	 6.6285e+02	
 1.0000e+00	 2.1760e+03	 6.9447e+02	
 1.0000e+00	 2.2400e+03	 6.6973e+02	
 1.0000e+00	 2.3040e+03	 6.5918e+02	
