epoch	sample	loss	
 1.0000e+00	 2.5600e+02	 1.3862e-01	
 1.0000e+00	 5.1200e+02	 1.4274e-01	
 1.0000e+00	 7.6800e+02	 1.4544e-01	
 1.0000e+00	 1.0240e+03	 1.4558e-01	
 1.0000e+00	 1.2800e+03	 1.4166e-01	
 1.0000e+00	 1.5360e+03	 1.4059e-01	
 1.0000e+00	 1.7920e+03	 1.3972e-01	
 1.0000e+00	 2.0480e+03	 1.3666e-01	
 1.0000e+00	 2.3040e+03	 1.3769e-01	
 1.0000e+00	 2.5600e+03	 1.3430e-01	
 1.0000e+00	 2.8160e+03	 1.3338e-01	
 1.0000e+00	 3.0720e+03	 1.2939e-01	
 1.0000e+00	 3.3280e+03	 1.2678e-01	
 1.0000e+00	 3.5840e+03	 1.2541e-01	
 1.0000e+00	 3.8400e+03	 1.2489e-01	
 1.0000e+00	 4.0960e+03	 1.2315e-01	
 1.0000e+00	 4.3520e+03	 1.2294e-01	
 1.0000e+00	 4.6080e+03	 1.2113e-01	
 1.0000e+00	 4.8640e+03	 1.1842e-01	
 1.0000e+00	 5.1200e+03	 1.1601e-01	
 1.0000e+00	 5.3760e+03	 1.1612e-01	
 1.0000e+00	 5.6320e+03	 1.1377e-01	
 1.0000e+00	 5.8880e+03	 1.1061e-01	
 1.0000e+00	 6.1440e+03	 1.1053e-01	
 1.0000e+00	 6.4000e+03	 1.1102e-01	
 1.0000e+00	 6.6560e+03	 1.0804e-01	
 1.0000e+00	 6.9120e+03	 1.0685e-01	
 1.0000e+00	 7.1680e+03	 1.0696e-01	
 1.0000e+00	 7.4240e+03	 1.0264e-01	
 1.0000e+00	 7.6800e+03	 1.0454e-01	
 1.0000e+00	 7.9360e+03	 1.0429e-01	
 1.0000e+00	 8.1920e+03	 1.0284e-01	
 1.0000e+00	 8.4480e+03	 1.0211e-01	
 1.0000e+00	 8.7040e+03	 9.9892e-02	
 1.0000e+00	 8.9600e+03	 1.0276e-01	
 1.0000e+00	 9.2160e+03	 9.9642e-02	
 1.0000e+00	 9.4720e+03	 9.8818e-02	
 1.0000e+00	 9.7280e+03	 9.8516e-02	
 1.0000e+00	 9.9840e+03	 9.7228e-02	
 1.0000e+00	 1.0240e+04	 9.5792e-02	
 1.0000e+00	 1.0496e+04	 9.6320e-02	
 1.0000e+00	 1.0752e+04	 9.5101e-02	
 1.0000e+00	 1.1008e+04	 9.4780e-02	
 1.0000e+00	 1.1264e+04	 9.4512e-02	
 1.0000e+00	 1.1520e+04	 9.5826e-02	
 1.0000e+00	 1.1776e+04	 9.2358e-02	
 1.0000e+00	 1.2032e+04	 9.2251e-02	
 1.0000e+00	 1.2288e+04	 9.0595e-02	
 1.0000e+00	 1.2544e+04	 9.1079e-02	
 1.0000e+00	 1.2800e+04	 9.1870e-02	
 1.0000e+00	 1.3056e+04	 9.1817e-02	
 1.0000e+00	 1.3312e+04	 9.1865e-02	
 1.0000e+00	 1.3568e+04	 8.8751e-02	
 1.0000e+00	 1.3824e+04	 8.8117e-02	
 1.0000e+00	 1.4080e+04	 9.0839e-02	
 1.0000e+00	 1.4336e+04	 8.7251e-02	
